epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.7044,0.41936,1,1,0.04836,0.00051677,0.00051677,0.00051677
2,37.0162,0.09507,1,1,0.00165,0.000946239,0.000946239,0.000946239
3,54.9903,0.06672,1,1,0.00869,0.00127009,0.00127009,0.00127009
4,72.8078,0.11772,1,1,0.00338,0.0011719,0.0011719,0.0011719
5,90.5116,0.05951,1,1,0.00136,0.00100687,0.00100687,0.00100687
6,107.966,0.02647,1,1,0.00035,0.000841835,0.000841835,0.000841835
7,130.184,0.01941,1,1,0.0002,0.000676802,0.000676802,0.000676802
8,151.143,0.06106,1,1,0.00012,0.000511769,0.000511769,0.000511769
9,170.023,0.02743,1,1,0.00013,0.000346736,0.000346736,0.000346736
10,187.786,0.02848,1,1,2e-05,0.000181703,0.000181703,0.000181703
